permno,prc,ticker,comnam,ym
86868,89.65000152587891,GS,GOLDMAN SACHS GROUP INC,2004m8
84398,111.7600021362305,SPY,SPDR TRUST,2004m9
84788,2.043000030517578,AMZN,AMAZON COM INC,2004m9
86868,93.23999786376953,GS,GOLDMAN SACHS GROUP INC,2004m9
84398,113.1999969482422,SPY,SPDR TRUST,2004m10
84788,1.706500053405762,AMZN,AMAZON COM INC,2004m10
86868,98.37999725341797,GS,GOLDMAN SACHS GROUP INC,2004m10
84398,117.8899993896484,SPY,SPDR TRUST,2004m11
84788,1.984000015258789,AMZN,AMAZON COM INC,2004m11
86868,104.7600021362305,GS,GOLDMAN SACHS GROUP INC,2004m11
84398,120.870002746582,SPY,SPDR TRUST,2004m12
84788,2.214500045776367,AMZN,AMAZON COM INC,2004m12
86868,104.0400009155273,GS,GOLDMAN SACHS GROUP INC,2004m12
84398,118.1600036621094,SPY,SPDR TRUST,2005m1
84788,2.161000061035156,AMZN,AMAZON COM INC,2005m1
86868,107.8499984741211,GS,GOLDMAN SACHS GROUP INC,2005m1
84398,120.629997253418,SPY,SPDR TRUST,2005m2
84788,1.759000015258789,AMZN,AMAZON COM INC,2005m2
86868,108.8000030517578,GS,GOLDMAN SACHS GROUP INC,2005m2
84398,117.9599990844727,SPY,SPDR TRUST,2005m3
84788,1.713500022888184,AMZN,AMAZON COM INC,2005m3
86868,109.9899978637695,GS,GOLDMAN SACHS GROUP INC,2005m3
84398,115.75,SPY,SPDR TRUST,2005m4
84788,1.618000030517578,AMZN,AMAZON COM INC,2005m4
86868,106.7900009155273,GS,GOLDMAN SACHS GROUP INC,2005m4
84398,119.4800033569336,SPY,SPDR TRUST,2005m5
84788,1.77549991607666,AMZN,AMAZON COM INC,2005m5
86868,97.5,GS,GOLDMAN SACHS GROUP INC,2005m5
84398,119.1800003051758,SPY,SPDR TRUST,2005m6
84788,1.654500007629395,AMZN,AMAZON COM INC,2005m6
86868,102.0199966430664,GS,GOLDMAN SACHS GROUP INC,2005m6
84398,123.7399978637695,SPY,SPDR TRUST,2005m7
84788,2.257500076293945,AMZN,AMAZON COM INC,2005m7
86868,107.4800033569336,GS,GOLDMAN SACHS GROUP INC,2005m7
84398,122.5800018310547,SPY,SPDR TRUST,2005m8
84788,2.135000038146972,AMZN,AMAZON COM INC,2005m8
86868,111.1800003051758,GS,GOLDMAN SACHS GROUP INC,2005m8
84398,123.0400009155273,SPY,SPDR TRUST,2005m9
84788,2.264999961853027,AMZN,AMAZON COM INC,2005m9
86868,121.5800018310547,GS,GOLDMAN SACHS GROUP INC,2005m9
84398,120.129997253418,SPY,SPDR TRUST,2005m10
84788,1.993000030517578,AMZN,AMAZON COM INC,2005m10
86868,126.370002746582,GS,GOLDMAN SACHS GROUP INC,2005m10
84398,125.4100036621094,SPY,SPDR TRUST,2005m11
84788,2.422999954223633,AMZN,AMAZON COM INC,2005m11
86868,128.9600067138672,GS,GOLDMAN SACHS GROUP INC,2005m11
84398,124.5100021362305,SPY,SPDR TRUST,2005m12
84788,2.357500076293945,AMZN,AMAZON COM INC,2005m12
86868,127.7099990844727,GS,GOLDMAN SACHS GROUP INC,2005m12
84398,127.5,SPY,SPDR TRUST,2006m1
84788,2.240999984741211,AMZN,AMAZON COM INC,2006m1
86868,141.25,GS,GOLDMAN SACHS GROUP INC,2006m1
84398,128.2299957275391,SPY,SPDR TRUST,2006m2
84788,1.871999931335449,AMZN,AMAZON COM INC,2006m2
86868,141.2899932861328,GS,GOLDMAN SACHS GROUP INC,2006m2
84398,129.8300018310547,SPY,SPDR TRUST,2006m3
84788,1.826499938964844,AMZN,AMAZON COM INC,2006m3
86868,156.9600067138672,GS,GOLDMAN SACHS GROUP INC,2006m3
84398,131.4700012207031,SPY,SPDR TRUST,2006m4
84788,1.760499954223633,AMZN,AMAZON COM INC,2006m4
86868,160.2899932861328,GS,GOLDMAN SACHS GROUP INC,2006m4
84398,127.5100021362305,SPY,SPDR TRUST,2006m5
84788,1.730500030517578,AMZN,AMAZON COM INC,2006m5
86868,150.9499969482422,GS,GOLDMAN SACHS GROUP INC,2006m5
84398,127.2300033569336,SPY,SPDR TRUST,2006m6
84788,1.934000015258789,AMZN,AMAZON COM INC,2006m6
86868,150.4299926757813,GS,GOLDMAN SACHS GROUP INC,2006m6
84398,127.8499984741211,SPY,SPDR TRUST,2006m7
84788,1.344499969482422,AMZN,AMAZON COM INC,2006m7
86868,152.75,GS,GOLDMAN SACHS GROUP INC,2006m7
84398,130.6399993896484,SPY,SPDR TRUST,2006m8
84788,1.541499996185303,AMZN,AMAZON COM INC,2006m8
86868,148.6499938964844,GS,GOLDMAN SACHS GROUP INC,2006m8
84398,133.5800018310547,SPY,SPDR TRUST,2006m9
84788,1.605999946594238,AMZN,AMAZON COM INC,2006m9
86868,169.1699981689453,GS,GOLDMAN SACHS GROUP INC,2006m9
84398,137.7899932861328,SPY,SPDR TRUST,2006m10
84788,1.904500007629395,AMZN,AMAZON COM INC,2006m10
86868,189.7899932861328,GS,GOLDMAN SACHS GROUP INC,2006m10
84398,140.5299987792969,SPY,SPDR TRUST,2006m11
84788,2.017000007629394,AMZN,AMAZON COM INC,2006m11
86868,194.8000030517578,GS,GOLDMAN SACHS GROUP INC,2006m11
84398,141.6199951171875,SPY,SPDR TRUST,2006m12
84788,1.972999954223633,AMZN,AMAZON COM INC,2006m12
86868,199.3500061035156,GS,GOLDMAN SACHS GROUP INC,2006m12
84398,143.75,SPY,SPDR TRUST,2007m1
84788,1.883499908447266,AMZN,AMAZON COM INC,2007m1
86868,212.1600036621094,GS,GOLDMAN SACHS GROUP INC,2007m1
84398,140.9299926757813,SPY,SPDR TRUST,2007m2
